"","E-code","ONS Code","Local authority","Class","190: Education services","290: Highways and transport services","330: Children Social Care","360: Adult Social Care","390: Public Health","490: Housing services (GFRA only)","509: Cultural and related services","590: Environmental and regulatory services","599: Planning and development services","765: Capital expenditure charged to the GF Revenue Account (CERA) (exclude Public Health)","766: Capital expenditure charged to the GF Revenue Account (CERA) (Public Health)","school reserves at 1 April","public health reserves at 1 April","other earmarked reserves at 1 April","unallocated financial reserves at 1 April","Housing Revenue Account (HRA) reserves at 1 April","year"
"1","E0101","E06000022","Bath & North East Somerset UA","UA","93591","8168.73015377779","20841.3118431326","58999","8463.07687","4841.0150942708","3174.63891834869","19170.488497621","5531.99668004144","0","0","2899","33","54208","8900","0",2016
"2","E0102","E06000023","Bristol UA","UA","217942","27474","76292","146275","31337","29933","25742","18969","18193","0","0","39459","3361","20000","78703","54082",2016
"3","E0103","E06000025","South Gloucestershire UA","UA","145187","18067.442","24842","76420","9389","5883.657","6895","26344","4370","2617","0","7096","814","48223","8709","0",2016
"4","E0104","E06000024","North Somerset UA","UA","114393","9470","22812","61549","8958","8442","7921","13998","2100","3529","0","5849","523","33880","8180","0",2016
"5","E0201","E06000032","Luton UA","UA","183048","9060","37533.75957","53605","14340","8254","4964","16723","2228","7877","0","23157","655","36455","11586","4208",2016
"6","E0202","E06000055","Bedford UA","UA","85756","9831","31129","48717","8231","4877","6712","13496","2071","9922","0","4317","1260","30263","10416","0",2016
"7","E0203","E06000056","Central Bedfordshire UA","UA","120409","12781","39053","80795","11259","6248","6525","21434","10298","2413","0","11689","1496","30065","32198","20357",2016
"8","E0301","E06000036","Bracknell Forest UA","UA","94140","7693","16290","33240","3950","3664","6630","10136","818","0","0","4013","399","25877","10961","0",2016
"9","E0302","E06000037","West Berkshire UA","UA","110408","7664","21100","42857","5434","5366","5617","21210","2526","76","0","5120","309","6606","7968","0",2016
"10","E0303","E06000038","Reading UA","UA","89648.791566536","6083.82886026716","33962.2680832917","43520.6080488174","9842","6843.24455886347","7169.1020882432","14266.3488921225","1587.73320198291","0","689","3217","692","35358","1","18345",2016
"11","E0304","E06000039","Slough UA","UA","88914.88058","9153.56913","23841.63017","35843.3721970029","6597.14236","4308.65178344327","4431.92654875","13344.56622125","1167.21997","1033.36793","0","10348","0","8911","8142","24494",2016
"12","E0305","E06000040","Windsor & Maidenhead UA","UA","78880","2187","16621","39027","4192","2378","3220","15153","3077","1753","0","4229","0","4681","4606","0",2016
"13","E0306","E06000041","Wokingham UA","UA","107854","8932","17117","45786","4834","1640","3044","14041","1133","2374","0","6433","0","28336","11139","4110",2016
"14","E0401","E06000042","Milton Keynes UA","UA","192978","3779","43483","62862","10676","9679","10443","21795","11035","0","0","10275","1243","60705","8876","22926",2016
"15","E0421","E10000002","Buckinghamshire","SC","325716","34779","83174","135297","19210","2465","6816","21201","4877","43448","0","19202","2184","97452","17383","0",2016
"20","E0501","E06000031","Peterborough UA","UA","145319","8992","37954","44485","10278","4788","4810","11378","4963","0","0","6289","254","22944","6000","0",2016
"21","E0521","E10000003","Cambridgeshire","SC","292964","32343","79420","146632.23566","24280","3107","7421","33502","3466","0","0","19664","3033","22858","21393","0",2016
"27","E0601","E06000006","Halton UA","UA","93399","11237","25011","35739","9593","3172","11522","11061","4105","586","0","7461","1307","34795","8822","0",2016
"28","E0602","E06000007","Warrington UA","UA","130476","8630.553","30120","54741","11783","5129","8844","12901.53207","2963","328","0","9890","1106","32275","1897","0",2016
"29","E0603","E06000049","Cheshire East UA","UA","176893","18503","50298","98141","15916","11616","15401","28567","7432","1855","0","7499","1972","47103","14722","0",2016
"30","E0604","E06000050","Cheshire West and Chester UA","UA","220277","17027","44987","83741","16519","10312.081387317","14032.3186165054","26248.4623795612","9505.54390828504","1960.999","0","7152","2539","44315","21756","725",2016
"31","E0701","E06000001","Hartlepool UA","UA","62098.1018229939","5652","20111","28570","8175","3899","5398","8432","2457","2276.99295","26","5871","1678","42202","5253","0",2016
"32","E0702","E06000002","Middlesbrough UA","UA","88652","9985","34121","36955","16676","7413","6198","11470","2792","4789","0","9776","3180","27965","15439","0",2016
"33","E0703","E06000003","Redcar & Cleveland UA","UA","84189","12421","24924","40625","12024","2956","5633","11483","5660","51","0","5507","2754","13669","6074","0",2016
"34","E0704","E06000004","Stockton-on-Tees UA","UA","123943","10355.56","33683","44070","13057","4291","7895","13713","10980","9517","209","7158","1139","110674","6800","0",2016
"35","E0801","E06000052","Cornwall UA","UA","249215.74","21576","65592","143028","24721","9739","19057","51871","7955","69842","0","22869","2159","127609","48829","7554",2016
